"HighlightRow","Edit","View Audit LOG","State (XXX)","Issue  Office  (YXXX-MWO)","Location (name)","ICAO Identifier (YXXX)","Metar  (Y or N)","TAF  (Y or N)","TTF  (Y or N)","Ceilometer  (Y or N)","Vismeter  (Y or N)","AWIS  (Y or N)","AWIS Number (area code)No.","AWIS Frequency (Mhz)","BOM  Station(xxxxxx)","Secondary  &nbsp &nbsp &nbsp &nbsp Issue Office(YXXX-MWO)","ARFOR  Area(xx)","Alternate  Aero Minima  Cloud Base(Feet)","Alternate  Aero Minima  Visibility(Meters)","Slam Minima  Cloud Base(Feet)","Slam Minima  Visibility(Meters)","A Aero Minima  Cloud Base(Feet)","A Aero Minima  Visibility(Meters)","B Aero Minima  Cloud Base(Feet)","B Aero Minima  Visibility(Meters)","C Aero Minima  Cloud Base(Feet)","C Aero Minima  Visibility(Meters)","D Aero Minima  Cloud Base(Feet)","D Aero Minima  Visibility(Meters)","Main  Runway  Orientation(Degrees Magnetic)","Secondary  Runway  Orientation(Degrees Magnetic)","Tertiary  Runway  Orientation(Degrees Magnetic)","Variation  Amount  (Degrees)","Variation  Direction  (E or W)","Aero  Height  (Feet)","AWS  (Y or N)","VIS AWR  (Y or N)","VIS SYNOP  (Y or N)","Closest Vis Obs  (Y or N)","One  Minute Data  (Y or N)","Half  Hourly   (Y or N)","Hourly  Data  (Y or N)","Present  Weather Sensor Funded  (Y or N)","Lightning  Sensor  (Y or N)","Annual  Movements","Annual  Pax","GreaterThan 30000  Pax  (Y or N)","Runway  Approach  (Y or N)","Circling  Approach  (Y or N)","International  Secondary  (Y or N)","Control  Tower  (Y or N)","International  Major  (Y or N)","Etops  Alternate  (Y or N)","TAF  Classification  (A,B,C,D,E,F,G)","TAF  Cat  (1,2,3)","AIFS TAF Aifs Id (IDXXXXXX)","TAF  issues  TAF_ISS0  (HH/HH)","TAF_ISS1  Days  (A=All)","TAF  issues  TAF_ISS2  (HH/HH)","TAF_ISS3  Days  (A=All)","TAF  issues  TAF_ISS4  (HH/HH)","TAF_ISS5  Days  (A=All)","TAF  issues  TAF_ISS6  (HH/HH)","TAF_ISS7  Days  (A=All)","Validity  (Hrs)","Update  Frequency","No of  issues","TTF_ISS1  (HH/HH)","TTF_ISS2  Days","TTF ISSue  Times  TTF_ISS3  (HH/HH)","TTF_ISS4  Days","Airport  Warning  (Y or N)","Wind  Shear  Alert  (Y or N)","Temperature  Inversion   (Y or N)","ASTAS   (Y or N)","Thunderstorm  Alert   (Y or N)","Airport  Weather  Briefing   (Issue Time Z)","Code  Grey   (Y or N)","Verbal  Briefing   (Y or N)","Aero  Latitude  (Decimal  Degrees).","Aero  Longitude  (Decimal  Degrees).","Aviation  Funded (Y or N)","Aviation  Location  Type"
"___","YWLG","LOG","NSW","YSSY-MWO","Walgett","YWLG","Y","Y","N","Y","Y","Y","OLD (02) 6828 1585","N","52088","","22","1191","6000","","","1101","4400","1101","4400","1191","6000","","","48","180","","10","E","439","Y","N","N","Lightning Ridge 69","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN51500","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-30.03267","148.12578","Y","AD"
"___","YIVO","LOG","NSW","YSSY-MWO","Ivanhoe","YIVO","Y","Y","N","N","N","Y","OLD (02) 6995 1426","N","49000","","22","1308","6000","","","","","","","","","","","89","164","","10","E","330","Y","N","N","Ivanhoe  2.1","N","N","Y","N","N","","","N","N","N","N","N","N","N","D","3","IDN53400","","A","","","","","","","12","","1","","","","","N","N","N","N","N","N","N","Y","-32.88333","144.31","N","ALA"
"___","YHAY","LOG","NSW","YSSY-MWO","Hay","YHAY","N","Y","N","N","N","N","N","N","75019","","22","1295","6000","","","1195","4400","1195","4400","1295","6000","","","33","144","","10","E","305","N","N","N","Hay","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN55900","","A","","","","","","","12","","1","","","","","N","N","N","N","N","N","N","Y","-34.53142","144.82967","N","AD"
"___","YGTH","LOG","NSW","YSSY-MWO","Griffith","YGTH","Y","Y","N","N","N","Y","OLD (02) 6962 7636","132.95","75041","","22","1401","6000","","","1301","4400","1301","4400","1401","6000","","","55","178","","11","E","439","Y","N","N","Narrandera 70","N","N","Y","N","N","3232","42596","Y","Y","Y","N","N","N","N","C","3","IDN55600","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-34.25097","146.06727","Y","AD"
"___","YNYN","LOG","NSW","YSSY-MWO","Nyngan","YNYN","N","N","N","N","N","N","N","N","51039","","22","1221","6000","","","1101","4400","1101","4400","1201","6000","","","49","183","","10","E","569","N","N","Y","","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN56500","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-31.55115","147.20281","N","AD"
"___","YFBS","LOG","NSW","YSSY-MWO","Forbes","YFBS","Y","Y","N","N","N","Y","OLD (02) 6851 4090","N","65103","","22","1260","4400","","","1260","4400","1260","4400","","","","","88","","","11","E","760","Y","N","N","Parkes 33","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN56700","2008","A","0210","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-33.36362","147.93486","N","AD"
"___","YSDU","LOG","NSW","YSSY-MWO","Dubbo","YSDU","Y","Y","N","Y","Y","Y","OLD (02) 6884 9673","114.4","65070","","22","1555","7000","","","1295","4400","1295","4400","1445","6000","1555","7000","43","108","","11","E","935","Y","N","N","Wellington 52","N","N","Y","Y","N","8704","114138","Y","Y","Y","Y","N","N","N","B","2","IDN52000","1812","A","0018","A","0624","A","1206","A","18","6","4","","","","","N","N","N","N","N","N","N","Y","-32.21944","148.56528","Y","AD"
"___","YBKE","LOG","NSW","YSSY-MWO","Bourke","YBKE","Y","Y","N","N","N","Y","OLD (02) 6870 1125","N","48245","","22","1198","6000","","","1098","4400","1098","4400","1198","6000","","","53","178","","10","E","352","Y","N","Y","","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN52500","2008","A","0214","A","","","","","12","6","2","","","","","N","N","N","N","N","N","N","Y","-30.03904","145.95163","Y","AD"
"___","YNAR","LOG","NSW","YSSY-MWO","Narrandera","YNAR","N","Y","N","N","N","Y","","N","74148","","22","1366","6000","","","1297","4400","1297","4400","1367","6000","","","133","42","","11","E","473","N","N","Y","N Golf Club 5.1","N","Y","N","N","N","2397","11332","N","Y","Y","N","N","N","N","D","3","IDN55700","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.70217","146.51226","N","AD"
"___","YCNM","LOG","NSW","YSSY-MWO","Coonamble","YCNM","Y","Y","N","N","N","Y","OLD (02) 6822 4049","N","51161","","22","1196","6000","","","1106","4400","1106","4400","1196","6000","","","43","118","","11","E","604","Y","N","N","Coonamble","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN51700","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-30.98339","148.37564","N","AD"
"___","YWCA","LOG","NSW","YSSY-MWO","Wilcannia","YWCA","Y","N","N","N","N","Y","OLD (08) 8091 5549","N","46012","","22","1287","6000","","","","","","","","","","","27","88","","9","E","250","Y","N","N","Wilcania 5","N","N","Y","N","N","","","N","N","N","N","N","N","N","D","3","IDN52600","","A","","","","","","","12","","1","","","","","N","N","N","N","N","N","N","Y","-31.52627","143.3748","Y","ALA"
"___","YCDO","LOG","NSW","YSSY-MWO","Condobolin","YCDO","Y","Y","N","N","N","Y","OLD (02) 6895 4412","N","50137","","22","1596","6000","","","1300","4400","1300","4400","1600","6000","","","14","94","","11","E","650","Y","N","N","Condobolin Ag 1.4","N","N","Y","N","N","","","N","N","Y","N","N","N","N","D","3","IDN55800","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-33.06438","147.2091","Y","ALA"
"___","YCBA","LOG","NSW","YSSY-MWO","Cobar","YCBA","Y","Y","N","Y","Y","Y","OLD (02) 6836 4012","N","48237","","22","1326","6000","","","1166","4400","1166","4400","1326","6000","","","45","165","","10","E","724","Y","N","N","Cobar MO 6.7","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN52400","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-31.53833","145.79389","Y","AD"
"___","YTEM","LOG","NSW","YSSY-MWO","Temora","YTEM","Y","Y","N","N","N","Y","OLD (02) 6977 2896","N","73151","","22","1389","7000","","","1419","4400","1419","4400","1419","6000","","","50","87","177","11","E","921","Y","N","N","Temore","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDN56900","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-34.42131","147.51169","N","AD"
"___","YWHC","LOG","NSW","UNKNOWN","White Cliffs","YWHC","Y","N","N","N","N","Y","","N","46129","","22","","","","","-1","-1","","","","","","","21","117","","9","E","","Y","N","N","","N","N","Y","N","N","","","N","N","N","N","N","N","N","E","4","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","N","-30.8517","143.0742","N","ALA"
"___","YBRW","LOG","NSW","UNKNOWN","Brewarrina","YBRW","N","N","N","N","N","N","N","N","","","22","1226","6000","","","1126","4400","1126","4400","1226","6000","","","26","","","10","E","414","N","N","N","Brewarrina Hospital","N","N","N","N","N","","","N","Y","Y","N","Y","N","N","","3","IDN56600","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-29.97401","146.81675","N","AD"
"___","YLHI","LOG","NSW","YSSY-MWO","Lord Howe Island","YLHI","Y","Y","N","Y","Y","Y","OLD (02) 6563 2200","N","200839","","24","1923","6000","","","1733","4400","1733","4400","1963","6000","","","100","","","14","E","17","Y","Y","Y","","Y","Y","Y","N","N","1063","26647","N","N","Y","Y","N","N","N","A","3","IDN53500","1812","A","0012","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-31.53835","159.07719","N","AD"
"___","YMAY","LOG","NSW","YMML-MWO","Albury","YMAY","Y","Y","N","Y","Y","Y","OLD (02) 6041 2962","N","72160","","30","2231","7000","","","2011","4400","2011","4400","2111","6000","2221","7000","69","","","12","E","539","Y","Y","N","Beechworth 37","N","N","Y","N","N","8601","158679","Y","Y","Y","N","Y","N","N","B","3","IDV51800","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-36.06944","146.95333","Y","AD"
"___","YWSL","LOG","VIC","YMML-MWO","West Sale","YWSL","N","N","N","N","N","N","N","N","","","30","1277","6000","","","1227","4400","1227","4400","1227","6000","","","87","44","133","13","E","93","N","N","N","E Sale","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","2","IDV50800","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-38.09166","146.96525","N","AD"
"___","YDLQ","LOG","NSW","YMML-MWO","Deniliquin","YDLQ","Y","N","N","N","N","Y","OLD (03) 5881 5807","392","74258","","30","1244","6000","","","1094","4400","1094","4400","1194","6000","","","55","130","","11","E","316","Y","N","N","","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52000","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-35.55933","144.94641","N","AD"
"___","YCOR","LOG","NSW","YMML-MWO","Corowa","YCOR","N","N","N","N","N","N","N","N","74034","","30","1241","6000","","","1201","4400","1201","4400","1241","6000","","","43","133","","12","E","469","N","N","Y","","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV51900","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-35.99033","146.3513","N","AD"
"___","YWBL","LOG","VIC","YMML-MWO","Warrnambool","YWBL","Y","Y","N","N","N","Y","(03) 5565 9415","N","90186","","30","1348","6000","","","1103","4400","1103","4400","1193","6000","","","37","127","","11","E","242","Y","N","N","Heywood 75","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDV51500","2008","A","0214","A","0820","A","1402","A","12","","2","","","","","N","N","N","N","N","N","N","Y","-38.29514","142.44674","Y","AD"
"___","YMAV","LOG","VIC","YMML-MWO","Avalon","YMAV","Y","Y","N","Y","Y","Y","(03) 5282 1769","116.1","87113","","30","1295","7000","","","1365","4400","1365","4400","1365","6000","1365","7000","176","","","11","E","35","Y","N","N","Melb Apt 50.9","Y","Y","Y","Y","N","","","N","Y","Y","Y","Y","N","N","A","2","IDV50600","1818","A","0024","A","0606","A","1212","A","18","6","4","","","","","Y","N","N","N","N","N","N","Y","-38.0394","144.46948","Y","AD"
"___","YBNS","LOG","VIC","YMML-MWO","Bairnsdale","YBNS","Y","Y","N","N","N","Y","(03) 5153 2798","N","85279","","30","1295","6000","","","1195","4400","1195","4400","1295","6000","","","42","132","","13","E","165","Y","N","N","Lakes Entrance 38","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDV50900","2008","A","0214","A","","","","","12","6","2","","","","","N","N","N","N","N","N","N","Y","-37.88751","147.56764","Y","AD"
"___","YBLT","LOG","VIC","YMML-MWO","Ballarat","YBLT","Y","Y","N","Y","Y","Y","(03) 5339 6891","N","89002","","30","1367","4400","","","1367","4400","1367","4400","","","","","51","124","178","11","E","1433","Y","N","Y","","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDV51400","2008","A","0214","A","","","","","12","6","2","","","","","N","N","N","N","N","N","N","Y","-37.51159","143.79123","Y","AD"
"___","YBDG","LOG","VIC","YMML-MWO","Bendigo Aero","YBDG","Y","Y","N","N","N","Y","(03) 5442 9683","128.15","81123","","30","1580","6000","","","1035","4400","1035","4400","1215","6000","","","171","50","","11","E","705","Y","N","Y","","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","2","IDV52400","2008","A","0214","A","0820","A","1402","A","12","6","4","","","","","N","N","N","N","N","N","N","Y","-36.73941","144.32985","Y","AD"
"___","YMES","LOG","VIC","YMES-DWSO","East Sale","YMES","Y","Y","Y","Y","Y","Y","(03) 5146 7226","316.2","85314","YMML-MWO","30","1507","7000","","","1097","4400","1097","4400","1287","6000","1417","7000","86","41","","13","E","23","Y","Y","Y","","Y","Y","Y","N","PR","","","N","Y","Y","N","Y","N","N","B","2","IDV50700","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","D","D","","","Y","N","N","N","","N","N","Y","-38.10333","147.13083","N","AD"
"___","YMEN","LOG","VIC","YMML-MWO","Essendon Aero","YMEN","Y","Y","N","N","N","Y","N","133.2","86038","","30","1758","7000","","","1228","4400","1228","4400","1658","6000","1728","7000","76","166","","12","E","282","Y","N","N","Melb Apt 8","Y","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","2","IDV50200","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","Y","N","N","N","N","N","N","Y","-37.72722","144.89861","Y","AD"
"___","YHML","LOG","VIC","YMML-MWO","Hamilton","YHML","Y","Y","N","N","N","Y","(03) 5574 8276","N","90173","","30","1247","6000","","","1097","4400","1097","4400","1237","6000","","","170","103","","10","E","803","Y","N","N","Casterton 58","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDV51700","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-37.64876","142.06524","Y","AD"
"___","YHSM","LOG","VIC","YMML-MWO","Horsham","YHSM","Y","Y","N","N","N","Y","(03) 5381 0257","401","79100","","30","1215","6000","","","1175","4400","1175","4400","1215","6000","","","80","170","","10","E","445","Y","N","N","Polkemet 6.5","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52700","2008","A","0214","A","","","","","12","","4","","","","","N","N","N","N","N","N","N","Y","-36.66969","142.17268","Y","AD"
"___","KMG","LOG","VIC","YMML-MWO","Kilmore Gap","KMG","Y","N","N","Y","Y","Y","(03) 5783 2296","128.6","88162","","30","","","","","-1","-1","","","","","","","","","","","","","Y","N","N","Melb Apt 35","Y","Y","Y","N","N","","","N","N","N","N","N","N","N","E","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-37.3","144.98333","Y","CL"
"___","YLTV","LOG","VIC","YMML-MWO","Latrobe Valley","YLTV","Y","Y","N","Y","Y","Y","(03) 5176 0534","128.2","85280","","30","1790","6000","","","1300","4400","1300","4400","1790","6000","","","33","85","","12","E","180","Y","N","Y","","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","C","3","IDV51000","2008","A","0214","A","0820","A","1402","A","12","","4","","","","","N","N","N","N","N","N","N","Y","-38.20723","146.47031","Y","AD"
"___","YLVT","LOG","VIC","UNKNOWN","Laverton","YLVT","Y","N","N","Y","Y","N","N","N","87031","","30","1790","6000","","","","","","","","","","","","","","","","","Y","N","N","","Y","Y","Y","N","N","","","N","N","N","N","N","N","N","","","","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-37.8565","144.7566","N",""
"___","YMCO","LOG","VIC","YMML-MWO","Mallacoota","YMCO","Y","N","N","N","N","Y","(03) 5158 0103","N","84084","","30","1668","6000","","","1308","4400","1308","4400","1608","6000","","","69","177","","14","E","102","Y","N","N","Gabo Is. 17","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV51300","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-37.59875","149.72075","N","AD"
"___","YMNG","LOG","VIC","YMML-MWO","Mangalore","YMNG","Y","Y","N","N","N","Y","(03) 5796 2093","N","88109","","30","1453","7000","","","1153","4000","1353","4400","1453","6000","1453","7000","43","178","","11","E","467","Y","N","Y","","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52300","2008","A","0214","A","","","","","12","","4","","","","","N","N","N","N","N","N","N","Y","-36.89861","145.18472","Y","AD"
"___","YMML","LOG","VIC","YMML-MWO","Melbourne Aero","YMML","Y","Y","Y","Y","Y","N","ATIS","N","86282","","30","1666","7000","700","2500","1206","4400","1206","4400","1516","6000","1666","7000","160","83","","12","E","434","Y","Y","Y","","Y","Y","Y","N","Y","154687","18630402","Y","Y","Y","N","Y","Y","N","A","1","IDV50100","1800","A","0006","A","0612","A","1218","A","30","6","4","0024","A","","","Y","Y","Y","Y","Backup","06, 18","14 and 24Z","Y","-37.66833","144.83194","Y","AD"
"___","YMIA","LOG","VIC","YMML-MWO","Mildura","YMIA","Y","Y","N","Y","Y","Y","(03) 5023 3879","113.7, 272","76031","","30","1313","7000","","","1113","4400","1113","4400","1233","6000","1303","7000","92","176","","9","E","167","Y","Y","Y","","Y","Y","Y","N","N","6616","126253","Y","Y","Y","N","N","N","N","B","2","IDV52500","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-34.22926","142.08556","N","AD"
"___","YMMB","LOG","VIC","YMML-MWO","Moorabbin","YMMB","Y","Y","N","Y","Y","Y","(03) 9580 9637","120.9","86077","","30","1455","6000","","","1170","4400","1170","4400","1410","6000","","","36","130","130","12","E","50","Y","N","N","Melb RO 22","Y","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","2","IDV50300","1812","A","0012","A","0618","A","1224","A","12 (18)","6","4","","","","","N","N","N","N","N","N","N","Y","-37.97861","145.09583","Y","AD"
"___","YHOT","LOG","VIC","YMML-MWO","Mount Hotham","YHOT","Y","Y","N","N","Y","Y","(03) 5159 6780","128.05","83055","","30","2120","6000","","","1690","4400","1690","4400","2120","6000","","","111","","","12","E","4260","Y","Y","N","Mount Hotham 20","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52800","2308","A","0214","A","","","","","9","","2","","","","","N","N","N","N","N","N","N","Y","-37.04758","147.33406","N","AD"
"___","YNHL","LOG","VIC","YMML-MWO","Nhill","YNHL","Y","Y","N","N","N","Y","(03) 5391 3564","N","78015","","30","1365","6000","","","1236","4400","1236","4400","1336","6000","","","178","93","","10","E","454","Y","N","N","Nhill","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52900","","A","","","","","","","12","","1","","","","","N","N","N","N","N","N","N","Y","-36.30967","141.64091","N","AD"
"___","YPID","LOG","VIC","UNKNOWN","Phillip Island","YPID","N","N","N","N","N","N","N","N","","","30","1387","4400","","","1387","4400","1387","4400","","","","","","","","12","E","43","N","N","N","P I Penguins","N","N","N","N","N","","","N","N","Y","N","N","N","N","","3","IDV51200","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-38.52294","145.32717","N","ALA"
"___","YMPC","LOG","VIC","YMML-MWO","Point Cook","YMPC","N","N","N","N","N","N","N","N","87185","","30","1356","6000","","","1096","4400","1096","4400","1316","6000","","","36","79","164","12","E","14","N","N","N","Melb Apt","N","N","N","N","N","","","N","Y","Y","N","N","N","N","D","2","IDV50500","","","","","","","","","","","","","","","","N","N","N","N","N","N","N","Y","-37.93226","144.75346","N","AD"
"___","YPOD","LOG","VIC","YMML-MWO","Portland","YPOD","Y","Y","N","N","N","Y","(03) 5526 5239","118.75","90171","","30","1415","6000","","","1135","4400","1135","4400","1315","6000","1315","7000","77","167","","10","E","265","Y","N","Y","","N","Y","Y","N","N","2268","9761","N","Y","Y","N","N","N","N","D","3","IDV51600","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-38.31809","141.47104","Y","AD"
"___","YSHT","LOG","VIC","YMML-MWO","Shepparton","YSHT","Y","Y","N","N","N","Y","(03) 5823 2789","212","81125","","30","1185","4400","","","1156","4400","1156","4400","","","","","179","88","","11","E","374","Y","N","N","Tatura 11.5","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52200","2008","A","0214","A","","","","","12","","1","","","","","N","N","N","N","N","N","N","Y","-36.42881","145.39256","Y","AD"
"___","YSWH","LOG","VIC","YMML-MWO","Swan Hill","YSWH","Y","Y","N","N","N","Y","(03) 5032 3396","N","77094","","30","1326","6000","","","1156","4400","1156","4400","1326","6000","","","81","39","","10","E","234","Y","N","Y","","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52600","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-35.37571","143.53274","Y","AD"
"___","YWGT","LOG","VIC","YMML-MWO","Wangaratta","YWGT","Y","Y","N","N","N","Y","(03) 5722 3713","N","82138","","30","1346","6000","","","1166","4400","1166","4400","1346","6000","1346","7000","86","177","","12","E","504","Y","N","N","Benalla 33","N","Y","Y","N","N","","","N","Y","Y","N","N","N","N","D","3","IDV52100","2008","A","0214","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-36.41593","146.30686","Y","AD"
"___","YKII","LOG","TAS-ANT","YMHB-MWO","King Island","YKII","Y","Y","N","Y","N","Y","(03) 6462 1014","332","98017","","32","1308","6000","","","1098","4400","1098","4400","1198","6000","","","103","172","","12","E","132","Y","Y","Y","","N","N","Y","Y","N","2412","18550","N","Y","Y","N","N","N","N","C","2","IDT50400","2008","A","0214","A","0820","A","1402","A","12","","4","","","","","N","N","N","N","N","N","N","Y","-39.88583","143.88194","Y","AD"
"___","YFLI","LOG","TAS-ANT","YMHB-MWO","Flinders Island","YFLI","Y","Y","N","N","N","Y","(03) 6359 2351","N","99005","","32","1736","6000","","","1316","4400","1316","4400","1816","6000","","","47","130","","14","E","34","Y","Y","Y","","N","N","Y","N","N","1832","7424","N","Y","Y","N","N","N","N","C","2","IDT50500","2008","A","0214","A","0820","A","1402","A","12","","4","","","","","N","N","N","N","N","N","N","Y","-40.09129","147.99267","Y","AD"
"___","YAMB","LOG","QLD","YAMB-DWSO","Amberley","YAMB","Y","Y","Y","Y","Y","Y","(07) 5361 3581","316.2","40004","YBBN-MWO","40","1959","7000","","","1269","4400","1269","4400","1499","6000","1959","7000","43","148","","11","E","87","Y","Y","Y","","Y","N","Y","N","Y","","","N","Y","Y","N","Y","N","N","A","2","IDQ50300","1806","A","0012","A","0618","A","1224","A","12","6","4","2210","M,TU,W,T,F","2205","F","Y","Y","N","N","N","N","N","Y","-27.64066","152.71182","N","AD"
"___","YCCA","LOG","QLD","","Chinchilla","YCCA","Y","Y","N","N","N","Y","(07) 46627582","133.25","541157","","40","1280","6000","","","","","","","","","","","28","132","","10","E","1030","Y","N","N","","Y","N","N","N","N","","","N","N","N","N","N","N","N","C","","","20/08","","","","","","","","12","","1","","","","","N","N","N","N","","N","N","N","-26.7694","150.6167","N",""
"___","YBAF","LOG","QLD","YBBN-MWO","Archerfield","YBAF","Y","Y","N","N","N","Y","(07) 32398720","N","40211","","40","1675","6000","","","1417","4400","1417","4400","","","","","41","40","97","11","E","63","Y","N","N","Bris Apt","Y","Y","Y","N","N","","","N","Y","Y","N","Y","N","N","B","2","IDQ50200","1806","A","0012","A","0618","A","1224","A","12","6","4","","","","","Y","N","N","N","N","N","N","Y","-27.57034","153.00803","Y","AD"
"___","YBWW","LOG","QLD","UNKNOWN","Wellcamp","YBWW","Y","N","N","N","N","Y","0735643746","133.6","541150","","40","1611","7000","","","","","","","","","","","122","","","11","E","1509","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","A","","","00/00","","06/06","","12/12","","18/18","","24","6","4","","","","","N","N","N","N","","N","N","N","-27.5586","151.7942","N",""
"___","YSEZ","LOG","QLD","UNKNOWN","Saumarez Reef Seaplane Base","YSEZ","N","N","N","N","N","N","","","","","40","","","","","-1","-1","","","","","","","","","","","","0","N","N","N","","N","N","N","N","N","","","N","N","N","N","N","N","N","D","","IDQ57400","","","","","","","","","","","","","","","","N","N","N","N","","N","N","N","-21.85729","153.64654","N","AD"
"___","YTWB","LOG","QLD","YBBN-MWO","Toowoomba","YTWB","Y","Y","N","Y","Y","Y","(07) 4634 8828","127.05, 386","41529","","40","1473","6000","","","1374","4400","1374","4400","1474","6000","","","106","62","","11","E","2086","Y","N","Y","","N","N","Y","N","N","","","N","Y","Y","N","N","N","N","C","2","IDQ51200","2008","A","0214","A","0820","A","1402","A","12","","4","","","","","N","N","N","N","N","N","N","Y","-27.55556","151.92083","Y","AD"
"___","YTNG","LOG","QLD","YBRK-MO","Thangool","YTNG","N","Y","N","N","N","N","N","N","39089","YBBN-MWO","40","1656","6000","","","1556","4400","1556","4400","1656","6000","","","102","130","","10","E","644","N","N","Y","","N","N","N","N","N","1079","8778","N","Y","Y","N","N","N","N","D","3","IDQ51600","2008","A","0211","A","","","","","12","","2","","","","","N","N","N","N","N","N","N","Y","-24.49377","150.57624","N","AD"
"___","YBRK","LOG","QLD","YBRK-MO","Rockhampton","YBRK","Y","Y","Y","Y","Y","Y","(07) 4922 7591","N","39083","YBBN-MWO","40","1544","7000","","","1274","4400","1274","4400","1544","6000","1544","7000","148","43","","9","E","34","Y","Y","Y","","Y","Y","Y","N","N","7373","397908","Y","Y","Y","Y","Y","N","N","A","2","IDQ50700","1812","A","0018","A","0624","A","1206","A","18","6","4","1808","M,TU,W,TH,F","1806","SA,S","Y","Y","N","N","N","N","N","Y","-23.37861","150.47639","N","AD"
"___","YBOK","LOG","QLD","YBOK-DWSO","Oakey","YBOK","Y","Y","Y","Y","Y","Y","(07) 4691 3079","N","41359","","40","1634","6000","","","1335","4400","1335","4400","1635","6000","","","44","89","134","11","E","1335","Y","Y","Y","","Y","Y","Y","N","Y","","","N","Y","Y","N","Y","N","N","B","2","IDQ51300","1806","A","0012","A","","","","","12","","2","2009","M,TU,W,T,F","D","SA,S","Y","Y","N","N","N","N","N","Y","-27.41639","151.73556","N","AD"
